ccf_ap	ccf_dv	ccf_lr	allen_ontology
3920.8	1278.7	5081.6	MOs
3916.8	1278.7	5049.9	MOs
3915.8	1258.9	5066.1	MOs
3911.9	1258.9	5034.3	MOs
3914.8	1239.1	5082.4	MOs
3910.9	1239.1	5050.6	MOs
3909.9	1219.3	5066.8	MOs
3906	1219.3	5035.1	MOs
3908.9	1199.6	5083.1	MOs
3905	1199.6	5051.3	MOs
3903.9	1179.8	5067.6	MOs
3900	1179.8	5035.8	MOs
3902.9	1160	5083.8	MOs
3899	1160	5052.1	MOs
3898	1140.2	5068.3	MOs
3894.1	1140.2	5036.5	MOs
3897	1120.4	5084.6	MOs
3893.1	1120.4	5052.8	MOs
3892.1	1100.7	5069	MOs
3888.2	1100.7	5037.3	MOs
3891.1	1080.9	5085.3	MOs
3887.1	1080.9	5053.5	MOs
3886.1	1061.1	5069.8	MOs
3882.2	1061.1	5038	root
3885.1	1041.3	5086	root
3881.2	1041.3	5054.3	root
3880.2	1021.6	5070.5	root
3876.3	1021.6	5038.7	root
3879.2	1001.8	5086.8	root
3875.3	1001.8	5055	root
3874.3	982	5071.2	root
3870.3	982	5039.5	root
3873.3	962.2	5087.5	root
3868.3	942.5	5072	root
3864.4	942.5	5040.2	root
3867.3	922.7	5088.2	root
3863.4	922.7	5056.5	root
8775.3	4709.1	3127.7	CA3
8794.8	4709.1	3153.1	CA3
8769.9	4689.9	3111.7	CA3
8789.4	4689.9	3137.1	CA3
8784	4670.7	3121.1	CA3
8803.5	4670.7	3146.4	CA3
8778.6	4651.4	3105	CA3
8798.1	4651.4	3130.4	CA3
8792.7	4632.2	3114.4	CA3
8812.2	4632.2	3139.8	CA3
8787.3	4613	3098.3	CA3
8806.8	4613	3123.7	CA3
8801.4	4593.7	3107.7	CA3
8820.8	4593.7	3133.1	CA3
8796	4574.5	3091.7	CA3
8815.4	4574.5	3117.1	CA3
8810.1	4555.3	3101	CA3
8829.5	4555.3	3126.4	CA3
8804.7	4536	3085	CA3
8824.1	4536	3110.4	CA3
8818.7	4516.8	3094.4	CA3
8838.2	4516.8	3119.7	CA3
8813.3	4497.6	3078.3	CA3
8832.8	4497.6	3103.7	CA3
8827.4	4478.3	3087.7	CA3
8846.9	4478.3	3113.1	CA3
8822	4459.1	3071.6	CA3
8841.5	4459.1	3097	CA3
8836.1	4439.9	3081	CA3
8855.6	4439.9	3106.4	CA3
8830.7	4420.6	3065	CA3
8850.2	4420.6	3090.4	CA3
8844.8	4401.4	3074.3	CA3
8864.3	4401.4	3099.7	CA3
8839.4	4382.2	3058.3	DG
8858.9	4382.2	3083.7	DG
8873	4362.9	3093	DG
8848.1	4343.7	3051.6	DG
8867.6	4343.7	3077	DG
8862.2	4324.5	3061	DG
8881.7	4324.5	3086.4	DG
8856.8	4305.2	3045	DG
8876.3	4305.2	3070.3	DG
8870.9	4286	3054.3	DG
8890.4	4286	3079.7	DG
8865.5	4266.8	3038.3	DG
8885	4266.8	3063.7	DG
8879.6	4247.5	3047.6	DG
8899.1	4247.5	3073	DG
8874.2	4228.3	3031.6	DG
8893.7	4228.3	3057	DG
8888.3	4209	3041	DG
8907.8	4209	3066.3	DG
8882.9	4189.8	3024.9	DG
8902.4	4189.8	3050.3	DG
8897	4170.6	3034.3	DG
8916.5	4170.6	3059.7	DG
8891.6	4151.3	3018.3	DG
8911.1	4151.3	3043.6	DG
8905.7	4132.1	3027.6	DG
8925.2	4132.1	3053	DG
8900.3	4112.9	3011.6	DG
8919.8	4112.9	3037	DG
